CPT,LOCALITY,YEAR,NON_FAC_LC,OCSF_STANDARD_FEE
27372,03,2022,710.09,776.0
27500,03,2022,631.77,1089.0
27508,03,2022,636.42,1089.0
27516,03,2022,625.57,880.0
27520,03,2022,390.25,1147.0
27530,03,2022,368.64,1279.0
27532,03,2022,752.13,1430.0
27538,03,2022,586.88,805.0
27560,03,2022,445.59,1980.0
27603,03,2022,636.18,1650.0
27604,03,2022,527.68,451.0
27605,03,2022,382.95,816.0
27614,03,2022,691.46,1494.0
27630,03,2022,635.85,1925.0
27685,03,2022,768.69,3520.0
27750,03,2022,416.79,1100.0
27752,03,2022,649.12,2200.0
27760,03,2022,396.84,715.0
27762,03,2022,583.57,1925.0
27767,03,2022,348.8,1320.0
27780,03,2022,371.17,770.0
27781,03,2022,525.8,2310.0
27786,03,2022,376.09,1040.0
27788,03,2022,512.34,1599.0
27808,03,2022,400.63,1144.0
27810,03,2022,570.49,1135.0
27816,03,2022,396.31,1209.0
27818,03,2022,591.72,1818.0
27824,03,2022,381.11,880.0
27825,03,2022,658.3,1496.0
28001,03,2022,201.75,788.0
28002,03,2022,289.85,1210.0
28003,03,2022,451.26,1540.0
28008,03,2022,492.64,1138.0
28020,03,2022,642.28,1925.0
28022,03,2022,563.03,2090.0
28035,03,2022,607.94,1367.0
28039,03,2022,575.39,1710.0
28043,03,2022,441.68,825.0
28045,03,2022,551.05,2200.0
28060,03,2022,602.1,1650.0
28062,03,2022,655.41,1199.0
28080,03,2022,612.66,2200.0
28086,03,2022,624.07,1320.0
28090,03,2022,534.7,1870.0
28092,03,2022,480.67,1080.0
28100,03,2022,717.68,1980.0
28104,03,2022,605.89,1045.0
28110,03,2022,527.8,1430.0
28111,03,2022,556.53,1650.0
28112,03,2022,557.9,1540.0
28113,03,2022,672.41,1815.0
28116,03,2022,902.09,2200.0
28118,03,2022,702.64,1705.0
28119,03,2022,606.79,1346.0
28120,03,2022,786.56,1760.0
28122,03,2022,683.85,1100.0
28124,03,2022,545.82,1496.0
28126,03,2022,447.1,1815.0
28153,03,2022,467.53,1650.0
28190,03,2022,280.04,394.0
28192,03,2022,529.18,936.0
28193,03,2022,600.24,1100.0
28200,03,2022,574.33,1232.0
28202,03,2022,687.13,1265.0
28208,03,2022,559.2,935.0
28220,03,2022,517.13,1172.0
28226,03,2022,728.86,1540.0
28230,03,2022,496.81,1014.0
28232,03,2022,433.75,330.0
28234,03,2022,467.32,785.0
28250,03,2022,674.58,2178.0
28270,03,2022,560.26,605.0
28285,03,2022,619.5,1100.0
28286,03,2022,506.69,884.0
28288,03,2022,697.82,1870.0
28289,03,2022,795.16,1320.0
28291,03,2022,817.45,3905.0
28292,03,2022,799.63,2420.0
28295,03,2022,1272.51,4979.0
28296,03,2022,1023.05,3025.0
28297,03,2022,1203.71,2125.0
28298,03,2022,962.95,2200.0
28299,03,2022,1163.59,2970.0
28308,03,2022,658.97,1100.0
28322,03,2022,921.47,660.0
28400,03,2022,291.6,1023.0
28405,03,2022,461.34,1650.0
28430,03,2022,283.39,605.0
28435,03,2022,442.9,1870.0
28450,03,2022,247.82,605.0
28470,03,2022,255.71,715.0
28475,03,2022,298.55,770.0
28490,03,2022,164.43,549.0
28496,03,2022,520.02,908.0
28505,03,2022,770.12,1815.0
28510,03,2022,138.58,414.0
28515,03,2022,189.34,495.0
28525,03,2022,660.59,1524.0
28530,03,2022,130.37,468.0
28545,03,2022,368.21,553.0
